Scan,Time,1001(c),1002(c),1003(c),1004(c),1005(c),1006(c),1007(c),1008(c),1009(c),1010(c),1011(c),1012(c),1013(c),1014(c),1015(c),1016(c),1017(c),1018(c),1019(c),1020(c),1021(c),1022(c),1023(c),1024(c),1025(c),1026(c),1027(c),1028(c),1029(c),1030(c),1031(c),1032(c),1033(c),1034(c),1035(c),1036(c),1037(c),1038(c),1039(c),1040(c),2001(c),2002(c),2003(c),2004(c),2005(c),2006(c),2007(c),2008(c),2009(c),2010(c),2011(c),2012(c),2013(c),2014(c),2015(c),2016(c),2017(c),2018(c),2019(c),2020(c),2021(c),2022(c),2023(c),2024(c),2025(c),2026(c),2027(c),2028(c),2029(c),2030(c),2031(c),2032(c),2033(c),2034(c),2035(c),2036(c),2037(c),2038(c),2039(c),2040(c),3006(c),3007(c),3008(c),3009(c),3016(c),3017(c),3018(c),3019(c),3026(c),3027(c),3028(c),3029(c),3036(c),3037(c),3038(c),3039(c),3040(c)
99,2020/12/15 11:20:35,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,25.035,24.952,24.952
100,2020/12/15 11:20:40,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,25.217,24.807,24.807
101,2020/12/15 11:20:45,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.008,25.202,25.202
102,2020/12/15 11:20:50,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.898,24.755,24.755
103,2020/12/15 11:20:55,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.794,24.775,24.775
104,2020/12/15 11:21:00,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,24.785,25.091,25.091
105,2020/12/15 11:21:05,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.885,24.745,24.745
106,2020/12/15 11:21:10,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,24.851,25.229,25.229
107,2020/12/15 11:21:15,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.063,25.212,25.212
108,2020/12/15 11:21:20,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.237,25.092,25.092
109,2020/12/15 11:21:25,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,24.834,25.029,25.029
110,2020/12/15 11:21:30,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.048,25.129,25.129
111,2020/12/15 11:21:35,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,25.124,24.717,24.717
112,2020/12/15 11:21:40,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.258,25.196,25.196
113,2020/12/15 11:21:45,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.972,24.753,24.753
114,2020/12/15 11:21:50,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.826,24.961,24.961
115,2020/12/15 11:21:55,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.859,24.848,24.848
116,2020/12/15 11:22:00,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,25.207,24.746,24.746
117,2020/12/15 11:22:05,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.987,24.844,24.844
118,2020/12/15 11:22:10,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.814,24.748,24.748
119,2020/12/15 11:22:15,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,24.85,25.023,25.023
120,2020/12/15 11:22:20,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.039,25.072,25.072
121,2020/12/15 11:22:25,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.098,25.046,25.046
122,2020/12/15 11:22:30,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.07,25.27,25.27
123,2020/12/15 11:22:35,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,24.944,25.124,25.124
124,2020/12/15 11:22:40,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,25.12,24.772,24.772
125,2020/12/15 11:22:45,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.256,25.235,25.235
126,2020/12/15 11:22:50,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.982,24.85,24.85
127,2020/12/15 11:22:55,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,25.152,24.809,24.809
128,2020/12/15 11:23:00,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,24.909,25.148,25.148
129,2020/12/15 11:23:05,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,25.134,24.944,24.944
130,2020/12/15 11:23:10,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,24.822,25.142,25.142
131,2020/12/15 11:23:15,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.217,25.223,25.223
